id,famous_tname,gname
0,茶𩂯王,茶飲商品
1,中國東方航空CHINAEASTERN,航班運輸等服務
2,海南航空HAINANAIRLINES,航班運輸等服務
3,M,漢堡、薯條、薯餅」等商品
4,蘋果APPLE,電腦、手機等商品
5,APPLELOGO,電腦、手機等商品
6,F1,賽車相關之商品與服務
7,FORMULA1,賽車相關之商品與服務
8,諾得,西藥等商品
9,紅太陽,茶飲商品
10,Dr.Hsieh,中西藥品等商品
11,DRHSIEH,中西藥品等商品
12,DR.HSIEH,中西藥品等商品
13,DR.H,中西藥品等商品
14,COCO,流行服飾等商品
15,順成,糕點等商品
16,中國石油,石油化學原料等商品、石油供給服務
17,Eta-com,電力傳導、轉換、蓄積或調節用裝置及儀器
18,SwooshDesign勾狀,運動服飾及用品
19,AQUAGEN,保濕原料商品
20,品皇,咖啡等商品
21,品皇PINGHUANG,咖啡等商品
22,丁丁,個人衛生用品等商品
23,OLYMPIC,運動產業商品等
24,G-STAR,牛仔褲等商品
25,BATMAN,電影片等商品
26,Blu-ray,藍光光碟等商品
27,飛牛,牧場遊憩、觀光等服務
28,Blu-ray3D,藍光光碟等商品
29,BLU-RAYDISC,藍光光碟等商品
30,MICHELIN,輪胎、旅遊服務等商品
31,DIESEL,牛仔褲等商品
32,BRAUN,電動刮鬍刀等商品
33,BLU-RAYDISC,藍光光碟等商品
34,飛牛牧場,牧場遊憩、觀光等服務
35,bDlogo／Blu-rayDisclogo,藍光光碟等商品
36,chicco,嬰幼兒商品及相關服務
37,飛牛,電腦動畫設計等服務
38,飛牛牧場,電腦動畫設計等服務
39,雅方,冰品、冷凍調理食品等產品
40,東龍,咖啡機等商品
41,UCC,茶、咖啡等商品
42,iPhone,手機、電腦等商品
43,AQUAGEN,保濕護膚品等商品
44,ADIDAS,各種膠紙、標籤、燙壓標籤
45,DAMIERAZURfig,手提包等商品
46,MonogramCanvas,手提包等商品
47,AppleTV,電腦軟硬體、行動電話、數位影音播放器等商品
48,h2o+,保養品等商品
