id,cate,rule_list
1,其他類,"['673', '151', '144', '45', '631', '630', '562', '561', '504', '502', '82', '80', '79', '59', '58', '54', '589', '578', '563', '543', '390', '388', '387', '385', '384', '382', '380', '368', '367', '366', '364', '363', '362']"
2,1-1-1 化學品,"['55', '40', '30', '9', '1', '1', '697', '674', '253', '184', '121', '53', '52', '11', '10']"
3,1-1-2 交通機具零件類,"['696', '695', '694', '210', '205', '204', '203', '202', '198', '197', '196', '195', '194', '193', '183', '161']"
4,1-1-3 危險爆裂物相關,"['234', '232', '231', '230', '220']"
5,1-1-4 家用電器機具零件類,"['17', '773', '740', '651', '650', '617', '614', '612', '609', '583', '520', '223', '222', '221', '214', '213', '95', '92', '91', '67', '66']"
6,1-1-5 電、燈鐘錶零件類,"['9', '779', '692', '691', '680', '671', '670', '652', '632', '582', '581', '580', '573', '542', '541', '540', '525', '524', '523', '217', '216', '215', '200', '97', '96']"
7,1-1-6 電器機具零件類,"['18', '798', '700', '676', '675', '672', '639', '635', '634', '633', '615', '252', '251', '244', '243', '242', '212', '211', '201', '192', '191', '190', '188', '187', '186', '185', '182', '181', '180', '177', '175', '171', '170', '164', '154', '153', '152', '87', '85', '83', '78', '76', '74', '20', '19']"
8,1-2-1 金屬類,"['55', '711', '710', '241', '94', '90', '88', '77', '71', '70', '69', '65', '64', '63', '61', '60', '56']"
9,1-2-2 瓷器,"['134', '133', '73']"
10,1-2-3 礦物人造石,"['814', '636', '143', '142', '141', '132', '131', '124', '122', '111', '110', '103', '102', '101', '100', '99', '98']"
11,2-1-1 紙類,"['623', '622', '620', '611', '499', '189', '160', '81']"
12,2-1-2 筆類,"['560', '500', '491']"
13,2-2-1 木製品,"['923', '644', '641', '590', '522', '503']"
14,2-2-2 竹製品,"['911', '564']"
15,2-2-3 藤製品,['933']
16,2-3-1 動物油,"['544', '505']"
17,2-3-2 植物油,['314']
18,2-3-3 礦物油,"['663', '531', '254']"
19,2-3-4 蠟類,"['552', '545', '530', '521', '511']"
20,2-4-1 混和類,"['776', '89', '86']"
21,2-4-2 塑膠製品,"['955', '947', '936', '910', '909', '836', '693', '613', '605', '601', '565', '84', '21']"
22,2-4-3 橡膠製品,"['900', '853', '600']"
23,2-5-1 油漆或塗料,"['17', '988', '984']"
24,2-5-2 墨水類,"['501', '493', '492', '25', '23']"
25,3-1-1 人造纖維原料類,"['707', '664', '333', '292', '281', '273', '272']"
26,3-1-2 天然纖維原料類,"['41', '29', '721', '331', '330', '295', '293', '291', '282', '271', '270', '262', '261', '50', '37', '36']"
27,3-1-3 布料紡織品類,"['722', '391', '353', '344', '342', '341', '340', '334', '332', '322', '321', '313', '312', '311', '310', '304', '301']"
28,3-1-4 混合類纖維原料類,['302']
29,3-2-1 包類,"['18', '665']"
30,3-2-2 衣著類,"['386', '383', '374', '373', '372', '371', '369', '360', '354', '352', '351']"
31,3-2-3 鞋類,"['379', '361', '16']"
32,4-1-1 相片類,['5']
33,4-1-2 電商貿易類,"['643', '512', '392', '7']"
34,4-1-3 維修類,['513']
35,4-2-1住宿類,['532']
36,4-2-2電影類,['8']
37,4-3-1零售類,['2']
38,4-3-2餐飲類,['6']
39,5-1-1 乳製品類,"['470', '469', '468', '465', '451', '443', '28']"
40,5-1-2 其他食品類,"['42', '453', '452', '444', '442', '441', '434', '433', '432', '208', '39', '27', '26']"
41,5-1-3 菸酒類,"['35', '467', '329', '48']"
42,5-1-4 零食、飲料類,"['30', '29', '431', '422', '421', '417', '414', '413', '412', '411', '394', '393', '381', '266', '260', '233', '123', '112', '38', '24', '15']"
43,5-1-5 蔬果類,"['485', '483', '482', '481', '480', '462', '461', '455', '402']"
44,5-1-6 調味類,"['32', '420', '415', '403', '401', '395', '130', '13']"
45,5-1-7 麵粉及其製品類,"['486', '484', '474', '473', '472', '471', '463', '454', '423']"
46,5-2-1 肥料,"['35', '489', '488', '487', '49']"
47,5-2-2 動物食品,"['464', '46']"
48,5-3-1 薰香類,"['661', '660', '610', '571', '570', '551', '57']"
49,5-3-2 藥品類,"['40', '662', '642', '550', '269', '120', '68', '14', '12']"
50,6-1-1 保養彩妝,"['3', '3', '3']"
51,6-1-1 香水類,['682']
52,6-1-2 粉類,['22']
53,6-1-3 膏霜類,"['6', '683', '4']"
54,6-2-1 用具類,"['681', '51']"
55,6-2-2 皂類,"['32', '912', '33', '31']"
56,6-2-3 膏霜類,"['45', '42', '41', '690', '44', '43']"
57,6-2-4 粉類,['34']
