,output,ag_average,ag_complete,ag_ward,ag_single,kmeans,kmeans_plus
0,香奈,15,15,15,15,4,8
1,九里香,23,23,23,23,27,21
2,露香堡,25,26,26,18,13,22
3,香帥,2,1,6,0,21,24
4,香莓,2,1,6,0,29,24
5,萬里香,24,24,24,24,25,25
6,稻香,26,28,25,16,26,26
7,香橙,27,25,27,28,7,29
8,柔玉青香,21,21,22,22,22,27
9,美露香,17,12,20,25,13,22
10,醉香,1,2,2,0,24,13
11,金香,18,18,18,17,17,17
12,天香,1,2,2,0,24,13
13,滿口香,0,0,0,26,3,28
14,夜來香,28,29,29,27,16,7
15,香島XIANGDAO,19,19,11,8,14,4
16,愛之香,20,20,19,19,5,19
17,米之香,22,11,12,11,1,0
18,香檳金,12,14,14,7,23,18
19,香王ODORKINGコウオウ,11,5,9,12,6,1
20,香晶泥,0,0,0,29,3,28
21,香榭Sunset,9,22,21,13,9,10
22,香眠工房HOMEKOBO,8,17,17,20,10,3
23,三香科技,10,10,10,21,28,23
24,英普奈,16,16,8,10,2,11
25,雷米奈特,4,9,4,9,20,20
26,金奈龍,5,7,16,5,12,15
27,奈米靜電,29,4,7,14,15,14
28,奈奇龍非鹵素PER,7,8,3,6,19,6
29,奈奇龍C型多層管,3,3,28,3,8,9
30,奈克NICO,13,27,1,4,18,5
31,奈特,14,13,5,2,0,16
32,奈米普泰,6,6,13,1,11,2
